Item URL,Name,Price,Sizes Available,SKU,Categories,Description,All image URLs
https://www.copunderdog.com/shop/sneakers/nike/dunk-low-x-union-argon/,Nike Dunk Low x UNION “Argon”,"₹34,500.00","8,9",N/A,"Nike,Sneakers","BRAND NEW, ",https://www.copunderdog.com/wp-content/uploads/2022/04/dunk-low-x-union-argon-dj9649-400-release-date.jpg
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-low-champ-colours/,Nike Dunk Low ‘Champ Colours’,"₹25,999.00","9,10.5",N/A,"Nike,Nike,Nike | Sneakers,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/07/dunk-low-champ-colors-release-date-11.jpg
https://www.copunderdog.com/shop/sneakers/jordans/dunk-low-wolf-grey/,Nike Dunk Low Wolf Grey Pure Platinum,"₹22,000.00",10,N/A,"Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/02/dunk-low-retro-pure-platinum-dj6188-001-release-date.jpeg
https://www.copunderdog.com/shop/sneakers/nike/nike-dunk-high-team-red/,Nike Dunk High Team Red,"₹19,500.00",7,N/A,"Nike,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/02/20.png
https://www.copunderdog.com/shop/accessories/eastpak/eastpak-springer-melted-mint/,Eastpak Springer Melted Mint,"₹5,999.00",,,"Accessories,Eastpak",Brand new in store ready to ship,https://www.copunderdog.com/wp-content/uploads/2021/04/EK000074_B62_1.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-high-neutral-grey/,Nike Air Jordan 1 High OG Neutral Grey ’85,"₹45,000.00","8,9.5",N/A,"Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/06/neutral.jpg
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-boost-350-v2-beluga-reflective/,Adidas Yeezy Boost 350 V2 Beluga,"₹42,999.00",8,N/A,"Sneakers,Yeezy","BRAND NEW,IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/12/PHOTO-2021-12-28-11-17-53.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-white-curry/,Nike Air Jordan 1 Low Light Curry,"₹15,999.00","7,9",N/A,"Jordans,SALE-2022,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/02/35.png
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-high-volt-gold/,Nike Air Jordan 1 High Volt Gold,"₹22,999.00",9.5,N/A,"Jordans,Sneakers","BRAND NEW,IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2020/11/6.png
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-chicago-bulls-reverse-black-toe/,Nike Air Jordan 1 Low Chicago Bulls / Reverse Black Toe,"₹16,999.00","6,7,8,9,11",N/A,"Jordans,Sneakers",BRAND NEW,https://www.copunderdog.com/wp-content/uploads/2022/04/Air-Jordan-1-Low-Reverse-Black-Toe-553558-163-01-750x750-1.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/jordan-1-light-fusion-red/,Nike Air Jordan 1 High Light Fusion Red,"₹19,999.00","6.5,9,11",N/A,"Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/04/15-2.png
